0 -   (68): 010
1 - e (50): 100
2 - o (41): 0000
3 - d (36): 0010
4 - t (25): 1010
5 - 
 (22): 1100
6 - * (21): 1110
7 - n (20): 1111
8 - i (19): 00010
9 - N (17): 01101
10 - r (17): 01100
11 - a (11): 11010
12 - ; (10): 11011
13 - ( (9): 001110
14 - ) (9): 001101
15 - f (9): 001100
16 - s (9): 000111
17 - v (7): 011110
18 - , (6): 101111
19 - g (6): 101110
20 - l (6): 101101
21 - u (6): 101100
22 - / (4): 0111010
23 - b (4): 0111001
24 - # (3): 00011000
25 - L (3): 0111111
26 - c (3): 0111110
27 - h (3): 0111011
28 - R (2): 01110001
29 - T (2): 01110000
30 - p (2): 00111111
31 - 0 (1): 001111101
32 - 1 (1): 001111100
33 - 2 (1): 001111011
34 - B (1): 001111010
35 - C (1): 001111001
36 - D (1): 001111000
37 - E (1): 000110111
38 - I (1): 000110110
39 - O (1): 000110101
40 - m (1): 000110100
41 - w (1): 000110011
42 - y (1): 000110010
